City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Havelock,US,34.8791,-76.9013,88.03,69,40,7.0,scattered clouds
279,Strezhevoy,RU,60.7333,77.5889,60.78,98,78,7.05,broken clouds
280,Vila Praia De Ancora,PT,41.811,-8.8526,75.49,80,12,9.33,few clouds
281,Havre-Saint-Pierre,CA,50.2334,-63.5986,73.76,60,1,10.36,clear sky
282,Thatcham,GB,51.4037,-1.2605,70.25,83,100,5.82,overcast clouds
283,Kieta,PG,-6.2167,155.6333,78.55,84,36,0.45,light rain
284,Golden,US,39.7555,-105.2211,92.28,34,18,1.01,few clouds
285,Manokwari,ID,-0.8667,134.0833,78.19,76,99,4.43,overcast clouds
286,Nioro,GM,13.35,-15.75,83.37,62,100,9.19,overcast clouds
287,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,9.22,broken clouds
288,Yulara,AU,-25.2406,130.9889,48.04,53,6,6.91,clear sky
289,Grindavik,IS,63.8424,-22.4338,51.75,93,90,29.93,light intensity drizzle
290,Brewster,US,41.3973,-73.6171,82.22,85,90,1.01,overcast clouds
291,Corinto,GR,37.9407,22.9573,82.89,45,0,2.19,clear sky
292,Leh,IN,34.1667,77.5833,73.26,40,99,7.7,overcast clouds
293,Touros,BR,-5.1989,-35.4608,85.1,66,9,17.0,clear sky
294,North Bend,US,43.4065,-124.2243,70.92,75,1,17.27,mist
295,Te Anau,NZ,-45.4167,167.7167,45.03,97,100,1.54,light rain
296,Avera,US,33.194,-82.5271,89.71,51,93,3.74,overcast clouds
297,Lingyuan,CN,41.24,119.4011,69.03,95,87,5.44,overcast clouds
298,Goderich,CA,43.7501,-81.7165,83.03,78,1,11.5,clear sky
299,Caravelas,BR,-17.7125,-39.2481,72.21,73,57,8.46,broken clouds
300,Weligama,LK,5.9667,80.4167,77.86,87,98,11.1,overcast clouds
301,Quatre Cocos,MU,-20.2078,57.7625,70.09,65,22,14.85,few clouds
302,Wajid,SO,3.8093,43.2471,74.86,59,100,22.48,overcast clouds
303,Macas,EC,-2.3167,-78.1167,71.35,83,90,4.61,light rain
304,Troitsko-Pechorsk,RU,62.7084,56.1964,47.84,88,78,5.12,broken clouds
305,Skagen,DK,57.7209,10.5839,74.26,61,100,10.94,overcast clouds
306,Alofi,NU,-19.0595,-169.9187,66.09,100,10,2.3,clear sky
307,Baoning,CN,25.3378,110.026,76.86,94,45,0.0,scattered clouds
308,Birin,NP,26.8865,88.0718,65.34,93,100,3.24,light rain
309,Muros,ES,42.7762,-9.0603,72.14,66,9,11.45,clear sky
310,Aitape,PG,-3.1374,142.3475,75.06,85,100,3.0,overcast clouds
311,Pisco,PE,-13.7,-76.2167,66.25,72,75,8.05,broken clouds
312,Bereda,ES,43.2686,-7.5406,66.58,87,96,4.65,overcast clouds
313,Balakliya,UA,49.4627,36.8595,74.23,52,13,8.52,few clouds
314,Belen,TR,36.4891,36.2233,75.34,74,0,20.71,clear sky
315,Khatanga,RU,71.9667,102.5,48.52,89,31,6.87,scattered clouds
316,Puerto Leguizamo,CO,-0.1934,-74.7819,84.83,59,90,2.77,overcast clouds
317,Tuatapere,NZ,-46.1333,167.6833,47.82,93,100,5.41,moderate rain
318,Malatya,TR,38.5,38.0,73.45,33,0,10.36,clear sky
319,Trat,TH,12.5,102.5,82.81,92,100,3.74,light rain
320,Clive,US,41.603,-93.7241,88.36,59,90,1.99,overcast clouds
321,Wajir,KE,1.7471,40.0573,82.36,44,40,12.66,scattered clouds
322,Bengkulu,ID,-3.8004,102.2655,74.89,87,0,5.5,clear sky
323,Labuan,MY,5.2767,115.2417,79.16,94,20,0.0,few clouds
324,Mackay,AU,-21.15,149.2,53.04,87,9,5.75,clear sky
325,Erzin,TR,36.9559,36.2,81.32,80,0,2.57,clear sky
326,Buenos Aires,AR,-34.6132,-58.3772,59.95,90,90,5.75,overcast clouds
327,Agirish,RU,61.9247,63.0231,51.3,72,100,4.74,overcast clouds
328,Bodhan,IN,18.6667,77.9,76.01,86,22,8.9,few clouds
329,Vardo,NO,70.3705,31.1107,48.4,87,75,13.8,broken clouds
330,Porto Novo,BJ,6.4965,2.6036,78.62,75,6,9.64,clear sky
331,Krasnoselkup,RU,65.7,82.4667,54.45,90,32,6.04,scattered clouds
332,Husavik,IS,66.0449,-17.3389,58.91,65,100,2.39,overcast clouds
333,Buraydah,SA,26.326,43.975,104.45,12,5,10.36,clear sky
334,Velsk,RU,61.0701,42.0983,56.14,70,28,6.13,scattered clouds
335,Mogadishu,SO,2.0371,45.3438,76.12,79,90,21.88,light rain
336,Zhezkazgan,KZ,47.8043,67.7144,79.97,38,0,21.43,clear sky
