City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
216,Shihezi,CN,80.92,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
218,Nileshwar,IN,77.9,heavy intensity rain,12.25,75.1,Neeleshwar Hermitage
221,Samarai,PG,78.31,overcast clouds,-10.6167,150.6667,Nuli Sapi
223,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
227,Phan Thiet,VN,75.96,overcast clouds,10.9333,108.1,Hotel Saigon-PT
228,Muisne,EC,84.31,overcast clouds,0.6,-80.0333,Quinta Samay
229,Sioux Lookout,CA,79.18,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
231,Veliko Gradiste,RS,84.25,clear sky,44.7567,21.5136,Romantika
233,Wanning,CN,79.29,broken clouds,18.8003,110.3967,Paradise Hotel
236,Victoria,HK,86.32,few clouds,22.2855,114.1577,Mini Hotel Central
237,Hilo,US,80.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
238,Soubre,CI,74.84,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
239,Los Algarrobos,PA,79.21,broken clouds,8.5,-82.4333,Waterfall Hostel
253,Eyl,SO,77.86,clear sky,7.9803,49.8164,Amiin Hotel
254,Chota,PE,75.9,light rain,-6.55,-78.65,Hotel lmata 2
260,Atikokan,CA,84.09,clear sky,48.7555,-91.6216,Quetico Inn (formerly Radisson)
261,Labuhan,ID,73.56,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
264,Tay Ninh,VN,76.23,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
265,Kutum,SD,71.91,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
266,Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
268,Sechura,PE,77.52,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
269,Thomasville,US,88.7,overcast clouds,35.8826,-80.082,Comfort Inn Thomasville I-85
270,Corralillo,CU,86.29,broken clouds,22.9819,-80.5856,Hostal De Pedri
271,Biak,ID,74.93,broken clouds,-0.9131,122.8766,Penginapan Kim
272,Roma,US,86.13,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
275,Kiunga,PG,71.51,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
277,Matara,LK,77.88,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
278,Havelock,US,88.03,scattered clouds,34.8791,-76.9013,Sherwood Motel
280,Vila Praia De Ancora,PT,75.49,few clouds,41.811,-8.8526,Hotel Meira
281,Havre-Saint-Pierre,CA,73.76,clear sky,50.2334,-63.5986,Auberge Niapiskau
282,Thatcham,GB,70.25,overcast clouds,51.4037,-1.2605,Mercure Newbury West Grange Hotel
283,Kieta,PG,78.55,light rain,-6.2167,155.6333,Uruna Bay Retreat
285,Manokwari,ID,78.19,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
290,Brewster,US,82.22,overcast clouds,41.3973,-73.6171,Heidi's Inn
291,Corinto,GR,82.89,clear sky,37.9407,22.9573,Ephira Hotel
292,Leh,IN,73.26,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
293,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
294,North Bend,US,70.92,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
298,Goderich,CA,83.03,clear sky,43.7501,-81.7165,Harmony Inn
299,Caravelas,BR,72.21,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
300,Weligama,LK,77.86,overcast clouds,5.9667,80.4167,Weligama Bay Resort
301,Quatre Cocos,MU,70.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
302,Wajid,SO,74.86,overcast clouds,3.8093,43.2471,xamdihotelresturant114
303,Macas,EC,71.35,light rain,-2.3167,-78.1167,Casa Upano
305,Skagen,DK,74.26,overcast clouds,57.7209,10.5839,Ruth's Hotel
309,Muros,ES,72.14,clear sky,42.7762,-9.0603,Apartment Av. Castelao
313,Balakliya,UA,74.23,few clouds,49.4627,36.8595,Hotelʹ Yuvileynyy
314,Belen,TR,75.34,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
316,Puerto Leguizamo,CO,84.83,overcast clouds,-0.1934,-74.7819,la casona de juancho
319,Trat,TH,82.81,light rain,12.5,102.5,สวนหนิง-อัศ
320,Clive,US,88.36,overcast clouds,41.603,-93.7241,Valley West Inn
321,Wajir,KE,82.36,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
322,Bengkulu,ID,74.89,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
323,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
325,Erzin,TR,81.32,clear sky,36.9559,36.2,Artemis Otel
328,Bodhan,IN,76.01,few clouds,18.6667,77.9,Chandini manzil
330,Porto Novo,BJ,78.62,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
335,Mogadishu,SO,76.12,light rain,2.0371,45.3438,Hotel Juba
336,Zhezkazgan,KZ,79.97,clear sky,47.8043,67.7144,Hotel Zumrat
337,Kamaishi,JP,70.75,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
339,Albufeira,PT,73.24,few clouds,37.0882,-8.2503,Grande Real Santa Eulalia Resort & Hotel Spa
342,Vila Velha,BR,77.97,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
343,Kabugao,PH,79.07,overcast clouds,18.0217,121.1842,ACLC-BOYS DORMITORY
344,Savannah Bight,HN,86.05,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
345,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
346,Machico,PT,77.72,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
349,Colares,PT,73.29,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
350,Ajuchitlan,MX,74.59,clear sky,20.7167,-100.0167,Cuartos En Renta
351,Shimoda,JP,77.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
353,Manggar,ID,81.16,clear sky,-2.8833,108.2667,Guest Hotel
361,Yiyang,CN,75.52,light rain,28.5892,112.3283,Tongcheng International Hotel
362,Ewa Beach,US,82.35,light rain,21.3156,-158.0072,Uncle Junior Robert
363,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
365,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
368,Port Moresby,PG,71.02,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
373,Fort-Shevchenko,KZ,81.95,few clouds,44.5086,50.263,Oasis hotel Bautino
374,Puerto Penasco,MX,85.91,overcast clouds,31.3167,-113.5333,Playa Bonita Resort
376,Danane,CI,73.9,overcast clouds,7.2596,-8.155,Lmd
379,Tual,ID,79.65,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
380,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
381,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
385,Inongo,CD,74.89,overcast clouds,-1.95,18.2667,Hotel Du Lac
386,Isangel,VU,74.89,overcast clouds,-19.55,169.2667,Tanna Lodge
387,Matay,EG,87.21,clear sky,28.419,30.7792,Nag Aespen
388,Pasighat,IN,78.82,overcast clouds,28.0667,95.3333,Siang Guest House
389,Katsuura,JP,81.1,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
390,Madras,IN,80.58,broken clouds,13.0878,80.2785,City home
391,Makakilo City,US,80.92,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
393,Itoman,JP,80.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
395,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
396,Kavaratti,IN,80.83,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
398,Abeche,TD,79.77,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
400,Chaiyaphum,TH,79.05,overcast clouds,15.75,102.0,BBM Grand Hotel
402,Parit Buntar,MY,83.95,overcast clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
404,Selaphum,TH,80.1,overcast clouds,16.0299,103.9383,ศิวิไลซ์โปรเจคท์
